Number of Clusters,AIC,BIC,Silhouette Score,Inertia
2,6252883.264696609,6261702.004138469,0.04829531421343422,1528931.1843365745
3,6220575.894133024,6233808.749657191,0.039155567257604273,1485443.1580296112
4,6197294.688617245,6214941.6602237215,0.038342342911000485,1450117.8722447986
5,6181263.695881077,6203324.783569862,0.03754783849670938,1424963.473360728
6,6161933.653663431,6188408.857434525,0.03562479088312093,1406192.146099433
7,6147769.551829063,6178658.871682465,0.03379270901346165,1392669.3148578051
8,6141948.338432315,6177251.774368025,0.03202812511321765,1380686.7834084108
9,6137706.189449386,6177423.741467405,0.031805018708356,1368895.595954913
10,6130220.981320221,6174352.649420548,0.03188748614471866,1358538.6469463147
11,6129783.421632717,6178329.205815353,0.031045339799367765,1349889.9531691517
12,6117383.321163882,6170343.221428826,0.02927546388490298,1342215.2869779747
13,6116243.721762537,6173617.73810979,0.029075774713988284,1334692.6494600195
14,6110248.788823928,6172036.921253489,0.028625948239106597,1328432.1689174543
15,6111807.475753525,6178009.724265396,0.02789877634775043,1322296.9568240358
